日,平均,最高,最低
1,22.8,27.6,19.5
2,23.5,30.0,19.8
3,24.2,30.0,20.1
4,23.5,28.5,19.8
5,22.7,26.5,18.4
6,21.8,28.4,17.5
7,22.6,30.5,16.2
8,24.0,32.2,16.9
9,24.1,29.0,19.3
10,23.5,29.6,19.0
11,23.5,28.8,19.1
12,24.0,29.3,20.7
13,23.8,28.8,21.2
14,23.9,29.1,21.0
15,24.4,31.0,19.5
16,24.9,30.5,20.1
17,23.7,29.5,20.8
18,24.3,30.3,19.8
19,23.0,30.6,18.7
20,24.7,30.7,19.5
21,24.6,30.3,20.1
22,25.1,30.6,20.3
23,22.8,26.6,19.8
24,24.9,28.3,21.4
25,24.6,27.0,22.8
26,25.9,31.4,23.0
27,23.8,26.5,22.4
28,25.6,30.3,22.1
29,26.2,31.8,22.4
30,24.2,29.4,21.6
31,26.5,32.2,22.3
