日,平均,最高,最低
1,25.5,31.2,21.8
2,27.4,33.7,22.7
3,28.1,33.4,23.3
4,27.2,31.4,24.7
5,25.7,29.0,22.1
6,25.6,31.1,22.2
7,25.9,31.1,21.8
8,27.4,32.9,24.2
9,26.4,30.1,24.4
10,26.9,31.1,25.0
11,27.4,31.2,25.0
12,27.9,31.7,25.7
13,27.5,31.7,25.3
14,27.3,30.7,24.5
15,27.5,32.1,24.1
16,28.8,33.9,23.7
17,28.5,33.1,25.2
18,28.4,33.5,26.1
19,27.3,31.5,23.6
20,27.7,31.9,24.6
21,27.7,31.3,25.7
22,28.3,33.2,25.0
23,27.8,33.3,24.5
24,28.3,33.6,25.2
25,28.0,32.1,25.5
26,28.8,34.6,25.5
27,26.5,30.4,24.6
28,27.5,32.6,24.9
29,28.4,34.2,25.4
30,27.8,33.3,25.7
31,28.7,34.1,25.3
