日,平均,最高,最低
1,26.6,31.5,22.7
2,27.8,34.6,24.4
3,29.1,34.7,24.1
4,26.9,32.0,23.8
5,26.0,29.7,23.3
6,26.9,32.4,21.4
7,28.4,34.2,22.8
8,28.9,34.7,23.4
9,27.6,30.7,25.3
10,27.5,31.1,24.7
11,28.2,33.1,24.5
12,28.6,34.4,24.7
13,27.9,32.5,24.6
14,27.9,32.0,25.1
15,28.8,34.2,24.3
16,29.7,34.7,25.7
17,27.8,32.6,23.7
18,29.3,34.1,25.7
19,28.2,32.5,25.2
20,28.5,32.8,25.0
21,28.9,33.6,25.1
22,29.0,33.8,25.7
23,27.0,30.7,24.9
24,28.6,32.0,25.9
25,27.0,30.6,25.9
26,29.3,35.1,26.2
27,26.3,28.5,24.4
28,28.5,32.9,25.3
29,29.0,33.7,26.0
30,27.0,29.1,25.6
31,29.2,34.7,25.4
